malformed	clean_target	relation_count	target_exists
g spot	g spot	6	True
h hour	h hour	6	True
n heptane	n heptane	6	True
n other	n other	6	True
s bomb	s bomb	6	True
s he	s he	6	True
t shaped	t shaped	6	True
4 polytope	4 polytope	6	True
b school	b school	6	True
g suit	g suit	6	True
i hood	i hood	6	True
n hexane	n hexane	6	True
p adic	p adic	6	True
x gal	x gal	6	True
y all'd've	y all'd've	6	True
5 methoxy dimethyltryptamine	5 methoxy dimethyltryptamine	6	True
9 1 1	9 1 1	6	True
x bar theory	x bar theory	6	True
b battery	b battery	6	True
b flat major	b flat major	6	True
b road	b road	6	True
b tree	b tree	6	True
d flat major	d flat major	6	True
d frame	d frame	6	True
d notice	d notice	6	True
e flat major	e flat major	6	True
e gram	e gram	6	True
e head	e head	6	True
h beam	h beam	6	True
i don't fancy yours	i don't fancy yours	6	True
i tell lie	i tell lie	6	True
i word	i word	6	True
j word	j word	6	True
k hed	k hed	6	True
k selection	k selection	6	True
n dimensional	n dimensional	6	True
o grade	o grade	6	True
p type	p type	6	True
q wave	q wave	6	True
r selection	r selection	6	True
s aorist	s aorist	6	True
s box	s box	6	True
s mobile	s mobile	6	True
t and o map	t and o map	6	True
t ball	t ball	6	True
t bandage	t bandage	6	True
t v distinction	t v distinction	6	True
w boson	w boson	6	True
x factor	x factor	6	True
x height	x height	6	True
z boson	z boson	6	True
2 tone	2 tone	6	True
e book reader	e book reader	6	True
e chart	e chart	6	True
l hospitalet de llobregat	l hospitalet de llobregat	6	True
0 4 4 2	0 4 4 2	6	True
0 8 8 0	0 8 8 0	6	True
2 10 4	2 10 4	6	True
2 4 2	2 4 2	6	True
2 4 4	2 4 4	6	True
2 6 6 0	2 6 6 0	6	True
2 6 8 0	2 6 8 0	6	True
2 8 8 0	2 8 8 0	6	True
4 10 0	4 10 0	6	True
4 14 4	4 14 4	6	True
4 3 suspension	4 3 suspension	6	True
4 4 4 4	4 4 4 4	6	True
4 6 0	4 6 0	6	True
4 6 4	4 6 4	6	True
4 8 2	4 8 2	6	True
4 8 4	4 8 4	6	True
4 8 6	4 8 6	6	True
6 8 6	6 8 6	6	True
b list	b list	6	True
l esprit de l escalier	l esprit de l escalier	6	True
d valve	d valve	6	True
j accuse	j accuse	6	True
k style	k style	6	True
l kick	l kick	6	True
q meter	q meter	6	True
w v	w v	6	True
x ring	x ring	6	True
y level	y level	6	True
n place second-hand cloth	n place second-hand cloth	5	True
b therefore	b therefore	5	True
3 his power	3 his power	5	True
6 but all might	6 but all might	5	True
declaring 	declaring	5	True
c no invocations or symbol	c no invocations or symbol	5	True
o d	o d	5	True
g major	g major	5	True
k know	k know	5	True
responding to oxidative and nitrosative 	responding to oxidative and nitrosative	5	False
s method	s method	5	True
b plot	b plot	5	True
d l	d l	5	True
2 joh	2 joh	5	True
b final	b final	5	True
b movie	b movie	5	True
c nucleoside	c nucleoside	5	True
e appraisal	e appraisal	5	True
e archive	e archive	5	True
e based	e based	5	True
e benefits	e benefits	5	True
e border	e border	5	True
e campaign	e campaign	5	True
e campaigning	e campaigning	5	True
e communication	e communication	5	True
e confidence	e confidence	5	True
e confident	e confident	5	True
e consent	e consent	5	True
e consultant	e consultant	5	True
e content	e content	5	True
e counseling	e counseling	5	True
e distribution	e distribution	5	True
e education	e education	5	True
e gift certificate	e gift certificate	5	True
e group	e group	5	True
e guidance	e guidance	5	True
e identity	e identity	5	True
e leadership	e leadership	5	True
e literature	e literature	5	True
e magazine	e magazine	5	True
e member	e member	5	True
e piracy	e piracy	5	True
e prescription	e prescription	5	True
e relationship	e relationship	5	True
e repository	e repository	5	True
e resource	e resource	5	True
e right	e right	5	True
e sales	e sales	5	True
e security	e security	5	True
e shopper	e shopper	5	True
e shopping	e shopping	5	True
e stalk	e stalk	5	True
e store	e store	5	True
e tard	e tard	5	True
e teaching	e teaching	5	True
e trade	e trade	5	True
e training	e training	5	True
e transaction	e transaction	5	True
e tutoring	e tutoring	5	True
e vite	e vite	5	True
e waste	e waste	5	True
f l	f l	5	True
g rated	g rated	5	True
j lo	j lo	5	True
k hole	k hole	5	True
o ring	o ring	5	True
p o	p o	5	True
p trap	p trap	5	True
t bill	t bill	5	True
t zone	t zone	5	True
u boat	u boat	5	True
x aerogel	x aerogel	5	True
x sampa	x sampa	5	True
y allself	y allself	5	True
z list	z list	5	True
z pak	z pak	5	True
c bomb	c bomb	5	True
d bag	d bag	5	True
e quaintance	e quaintance	5	True
g funk	g funk	5	True
i dotting	i dotting	5	True
n octane	n octane	5	True
n pentane	n pentane	5	True
r rotunda	r rotunda	5	True
t conorm	t conorm	5	True
u pick	u pick	5	True
x acto	x acto	5	True
4 3 3	4 3 3	5	True
4 5 1	4 5 1	5	True
7 10 split	7 10 split	5	True
8 foot	8 foot	5	True
9 11	9 11	5	True
b 52	b 52	5	True
b double	b double	5	True
b major	b major	5	True
c rat	c rat	5	True
c sharp	c sharp	5	True
d glucose	d glucose	5	True
e grade	e grade	5	True
e la	e la	5	True
g note	g note	5	True
h conduction time	h conduction time	5	True
h prothesis	h prothesis	5	True
i believe you thousands wouldn't	i believe you thousands wouldn't	5	True
i frame	i frame	5	True
i o bound	i o bound	5	True
j blog	j blog	5	True
j blogger	j blogger	5	True
j blogging	j blogging	5	True
j random	j random	5	True
j rock	j rock	5	True
k and k	k and k	5	True
k through 12	k through 12	5	True
l hôpital's rule	l hôpital's rule	5	True
m m	m m	5	True
n adic	n adic	5	True
n dimensional space	n dimensional space	5	True
n facility	n facility	5	True
o face	o face	5	True
q boat	q boat	5	True
q clearance	q clearance	5	True
r dropping	r dropping	5	True
r module	r module	5	True
s band	s band	5	True
t stop	t stop	5	True
u tube	u tube	5	True
x direction	x direction	5	True
x plane	x plane	5	True
y direction	y direction	5	True
y fronts	y fronts	5	True
y intercept	y intercept	5	True
z buffer	z buffer	5	True
z culling	z culling	5	True
z direction	z direction	5	True
z intercept	z intercept	5	True
z score	z score	5	True
æ tensing	æ tensing	5	True
0 10 0	0 10 0	5	True
2 10 0	2 10 0	5	True
7 up	7 up	5	True
8 track	8 track	5	True
c n n	c n n	5	True
k casein	k casein	5	True
0 10 2	0 10 2	5	True
0 2 2	0 2 2	5	True
0 4 4 0	0 4 4 0	5	True
0 6 6 0	0 6 6 0	5	True
2 chr	2 chr	5	True
2 2 0	2 2 0	5	True
2 8 2	2 8 2	5	True
4 2 2	4 2 2	5	True
4 4 0	4 4 0	5	True
6 2 0	6 2 0	5	True
7 7	7 7	5	True
l anse	l anse	5	True
c decay	c decay	5	True
c est la vie	c est la vie	5	True
e oe	e oe	5	True
i need guide	i need guide	5	True
k t boundary	k t boundary	5	True
r value	r value	5	True
s meter	s meter	5	True
u o	u o	5	True
w shaped	w shaped	5	True
x stretcher	x stretcher	5	True
x y recorder	x y recorder	5	True
y front	y front	5	True
δ hyperbolic	δ hyperbolic	5	True
x band	x band	5	True
y espada_	y espada_	4	True
2 one	2 one	4	True
3 physical science so-called	3 physical science so-called	4	True
o grave	o grave	4	True
1 _the trinity	1 _the trinity	4	True
o how accursed	o how accursed	4	True
b and c	b and c	4	True
_ calls itself in imitation	calls itself in imitation	4	False
e major	e major	4	True
g minor	g minor	4	True
o my god how wretched	o my god how wretched	4	True
distinctly 	distinctly	4	True
e window	e window	4	True
o love how difficult	o love how difficult	4	True
c 45	c 45	4	True
d minor	d minor	4	True
c minor	c minor	4	True
f minor	f minor	4	True
nco'	nco	4	True
d major	d major	4	True
o how wavering and inconstant	o how wavering and inconstant	4	True
b minor	b minor	4	True
b cell function	b cell function	4	True
i know	i know	4	True
i wish	i wish	4	True
9 to 5	9 to 5	4	True
f (programming language)	f (programming language)	4	True
l glucose	l glucose	4	True
i hate you	i hate you	4	True
l c	l c	4	True
l fructose	l fructose	4	True
x rays	x rays	4	True
2 up	2 up	4	True
7 bit	7 bit	4	True
b story	b story	4	True
r b	r b	4	True
e alert	e alert	4	True
e assessment	e assessment	4	True
e ballot	e ballot	4	True
e begging	e begging	4	True
e bike	e bike	4	True
e bookstore	e bookstore	4	True
e briefing	e briefing	4	True
e brochure	e brochure	4	True
e business	e business	4	True
e catalogue	e catalogue	4	True
e circle	e circle	4	True
e conomy	e conomy	4	True
e consultancy	e consultancy	4	True
e contract	e contract	4	True
e court	e court	4	True
e edition	e edition	4	True
e educator	e educator	4	True
e fed	e fed	4	True
e file	e file	4	True
e filing	e filing	4	True
e gold	e gold	4	True
e governance	e governance	4	True
e government	e government	4	True
e health	e health	4	True
e infrastructure	e infrastructure	4	True
e invoice	e invoice	4	True
e invoicing	e invoicing	4	True
e journal	e journal	4	True
e lesson	e lesson	4	True
e liquid	e liquid	4	True
e literate	e literate	4	True
e market	e market	4	True
e marketing	e marketing	4	True
e membership	e membership	4	True
e mentee	e mentee	4	True
e moderation	e moderation	4	True
e money	e money	4	True
e movie	e movie	4	True
e novel	e novel	4	True
e paper	e paper	4	True
e payroll	e payroll	4	True
e publication	e publication	4	True
e publishing	e publishing	4	True
e safety	e safety	4	True
e scrap	e scrap	4	True
e seminar	e seminar	4	True
e service	e service	4	True
e society	e society	4	True
e stop	e stop	4	True
e textbook	e textbook	4	True
e thesis	e thesis	4	True
e trading	e trading	4	True
e travel	e travel	4	True
i approve this message	i approve this message	4	True
i think therefore i am	i think therefore i am	4	True
k drama	k drama	4	True
n gram	n gram	4	True
p funk	p funk	4	True
x phile	x phile	4	True
t perm	t perm	4	True
t piece	t piece	4	True
u rp	u rp	4	True
y shaped coffin	y shaped coffin	4	True
c corporation	c corporation	4	True
e dress	e dress	4	True
f k	f k	4	True
i dotter	i dotter	4	True
k spar	k spar	4	True
m commerce	m commerce	4	True
n ray	n ray	4	True
o caudata	o caudata	4	True
s corporation	s corporation	4	True
t group	t group	4	True
0 dark hundred	0 dark hundred	4	True
0 dark thirty	0 dark thirty	4	True
1 connected	1 connected	4	True
2 butanone	2 butanone	4	True
2 methylpropane	2 methylpropane	4	True
5 o	5 o	4	True
c fiber	c fiber	4	True
c ration	c ration	4	True
c style string	c style string	4	True
c value paradox	c value paradox	4	True
d in p aeq	d in p aeq	4	True
d word	d word	4	True
e format	e format	4	True
e minor	e minor	4	True
f box	f box	4	True
f major	f major	4	True
h dropping	h dropping	4	True
h o	h o	4	True
h piece	h piece	4	True
h system	h system	4	True
h word	h word	4	True
i could eat horse	i could eat horse	4	True
i language	i language	4	True
i lost my keys	i lost my keys	4	True
i should cocoa	i should cocoa	4	True
i stem	i stem	4	True
j cloth	j cloth	4	True
j stroke	j stroke	4	True
k 1	k 1	4	True
k 12	k 12	4	True
k adic notation	k adic notation	4	True
k complex	k complex	4	True
k word	k word	4	True
l plate	l plate	4	True
m business	m business	4	True
n space	n space	4	True
n tuple	n tuple	4	True
o stem	o stem	4	True
p complete	p complete	4	True
r coloured vowel	r coloured vowel	4	True
s n	s n	4	True
s perfect	s perfect	4	True
t day	t day	4	True
t ray	t ray	4	True
t sql	t sql	4	True
t state	t state	4	True
t tail	t tail	4	True
u stem	u stem	4	True
u substitution	u substitution	4	True
v cut	v cut	4	True
v moth	v moth	4	True
v word	v word	4	True
x ray astronomy	x ray astronomy	4	True
x ray spectroscopy	x ray spectroscopy	4	True
x system	x system	4	True
y allselves	y allselves	4	True
σ compact	σ compact	4	True
3 old	3 old	4	True
4 old	4 old	4	True
g protein linked receptor	g protein linked receptor	4	True
m phase cell	m phase cell	4	True
x raying	x raying	4	True
e 305v	e 305v	4	True
e coli	e coli	4	True
f 15	f 15	4	True
k t extinction event	k t extinction event	4	True
o 2	o 2	4	True
v neck	v neck	4	True
x ray therapy	x ray therapy	4	True
y mx b	y mx b	4	True
0 12 0	0 12 0	4	True
0 4 0	0 4 0	4	True
0 4 2	0 4 2	4	True
0 4 4	0 4 4	4	True
0 6 0	0 6 0	4	True
0 6 2	0 6 2	4	True
0 6 4	0 6 4	4	True
0 8 0	0 8 0	4	True
0 8 2	0 8 2	4	True
0 8 4	0 8 4	4	True
1 gauge	1 gauge	4	True
2 gauge	2 gauge	4	True
2 10 2	2 10 2	4	True
2 12 0	2 12 0	4	True
2 12 2	2 12 2	4	True
2 12 4	2 12 4	4	True
2 2 2	2 2 2	4	True
2 2 4	2 2 4	4	True
2 4 0	2 4 0	4	True
2 6 0	2 6 0	4	True
2 6 2	2 6 2	4	True
2 6 4	2 6 4	4	True
2 6 6	2 6 6	4	True
2 8 0	2 8 0	4	True
2 8 6	2 8 6	4	True
2 8 8 8 2	2 8 8 8 2	4	True
2 8 8 8 4	2 8 8 8 4	4	True
3 on tree	3 on tree	4	True
4 10 2	4 10 2	4	True
4 12 2	4 12 2	4	True
4 6 2	4 6 2	4	True
4 h club	4 h club	4	True
e er	e er	4	True
e road	e road	4	True
i have fever	i have fever	4	True
i lost my bag	i lost my bag	4	True
j card	j card	4	True
j curve	j curve	4	True
j ouvert	j ouvert	4	True
q 931	q 931	4	True
q anjob al	q anjob al	4	True
r 1	r 1	4	True
u bolt	u bolt	4	True
w 18	w 18	4	True
x chair	x chair	4	True
x prize	x prize	4	True
y current	y current	4	True
z average	z average	4	True
d region	d region	4	True
r amphetamine	r amphetamine	4	True
l amphetamine	l amphetamine	4	True
x radiation	x radiation	4	True
g protein-coupled opsin signaling pathway	g protein-coupled opsin signaling pathway	4	True
p system	p system	4	True
n tobacco	n tobacco	3	True
1 mortal existence	1 mortal existence	3	True
6 being	6 being	3	True
6 progress and progress	6 progress and progress	3	True
1 and its government	1 and its government	3	True
c and some other	c and some other	3	True
shiraz pronounced shir-az'	shiraz pronounced shir-az	3	False
x _y_	x _y_	3	True
o staple the door	o staple the door	3	True
o lord thy judgment	o lord thy judgment	3	True
o lord	o lord	3	True
o lord of hosts blessed	o lord of hosts blessed	3	True
i-na-na'	i-na-na	3	False
e flat	e flat	3	True
t -	t -	3	True
x husband	x husband	3	True
o how happy	o how happy	3	True
o how blessed	o how blessed	3	True
o but christ	o but christ	3	True
e side	e side	3	True
learning 'honors'	learning 'honors	3	False
s porch	s porch	3	True
n aisle	n aisle	3	True
x pope pope	x pope pope	3	True
m here lord byron	m here lord byron	3	True
s the quotation	s the quotation	3	True
v and u	v and u	3	True
word 'fetish'	word 'fetish	3	False
r friend	r friend	3	True
o miserable thrice wretched	o miserable thrice wretched	3	True
t follicular helper tfh cell	t follicular helper tfh cell	3	True
b vitamin	b vitamin	3	True
b cells blimp1	b cells blimp1	3	True
b cell proliferation	b cell proliferation	3	True
t follicular helper	t follicular helper	3	True
s core	s core	3	True
g mutation	g mutation	3	True
inhibiting 	inhibiting	3	True
c and strongly	c and strongly	3	True
developing patient-tailored therapeutic 	developing patient-tailored therapeutic	3	False
s p52 c-terminal truncation	s p52 c-terminal truncation	3	True
l dopa	l dopa	3	True
i beg your pardon	i beg your pardon	3	True
s death	s death	3	True
s sense of self	s sense of self	3	True
s sign	s sign	3	True
s finances	s finances	3	True
à la carte	à la carte	3	True
o mark	o mark	3	True
t shirts	t shirts	3	True
l tryptophan	l tryptophan	3	True
t v	t v	3	True
n acetyl p aminophenol	n acetyl p aminophenol	3	True
b movieish	b movieish	3	True
b moviesque	b moviesque	3	True
e billing	e billing	3	True
e boutique	e boutique	3	True
e celebrity	e celebrity	3	True
e cheque	e cheque	3	True
e consulting	e consulting	3	True
e coupon	e coupon	3	True
e dictionary	e dictionary	3	True
e distributor	e distributor	3	True
e document	e document	3	True
e documentation	e documentation	3	True
e economy	e economy	3	True
e famous	e famous	3	True
e fax	e fax	3	True
e friend	e friend	3	True
e learner	e learner	3	True
e librarian	e librarian	3	True
e mailable	e mailable	3	True
e mailbox	e mailbox	3	True
e message	e message	3	True
e news	e news	3	True
e newsletter	e newsletter	3	True
e newspaper	e newspaper	3	True
e novella	e novella	3	True
e pal	e pal	3	True
e passport	e passport	3	True
e portfolio	e portfolio	3	True
e print	e print	3	True
e quainted	e quainted	3	True
